1,N6 芳基 嘌呤 衍生物 合成,本文 6 氯嘌呤 原料 9 位 烷基化 反应 得到 9 取代 6 氯嘌呤 进一步 利用 芳 胺类化合物 取代 嘌呤 6 位氯 原子 成功 探索 出 一条 简洁 高效 合成 N6 芳基 嘌呤 衍生物 路线 利用 方法 制备 11 N6 芳基 嘌呤 衍生物 表明 路线 具有 良好 官能团 耐受性 所得 关键 中间体 产物 结构 1 H NMR 13 C NMR HRMS 确证
0,基于 源 网 荷 统一 链式 电路 交流 电气化铁路 动态 潮流 计算,建立 输电线 馈线 牵引 网 链式 电路 模型 接口 之间 转换 关系模型 构建 列车 供电系统 源 网 荷 统一 链式 电路 通用 模型
1,一种 二维 高 分辨 成像 声纳 系统设计,论文 针对 利用 二维 成像 声纳 解决 水下目标 测量 问题 给出 解决方案 设计 测量系统 进行 成像 声纳 实验 验证 结果表明 方案设计 合理 成像 效果 良好
0,基于 源 网 荷 统一 链式 电路 交流 电气化铁路 动态 潮流 计算,基于 模型 进行 列车 供电系统 动态 潮流 计算 分别 建立 采用 电流源 功率 源 迭代 模型 求解 基本型 模型
1,一种 双驱 联动 数控钻床 系统设计,本文 设计 一种 带有 简单 数控 功能 用户 自主 选择 设定 钻头 转速 进给 速度 自动 加工 模式 数控钻床
0,基于 源 网 荷 统一 链式 电路 交流 电气化铁路 动态 潮流 计算,电气化铁路 线路 例 分别 不同 求解 方法 计算精度 迭代 收敛 次数 计算机 仿真 耗时 模型 应用场景 进行 仿真分析
1,一种 土壤 排放 气体 采集 系统设计,农田 草地 森林 土壤 排放 气体 研究 实际 出发 便捷 准确 得到 土壤 排放 气体 信息 设计 一种 土壤 排放 气体 采集 系统
0,基于 联觉 理论 盲童 玩具 设计 研究,弱势群体 普遍 关注 社会 背景 下 联觉 培养 角度 探索 盲童 玩具 科学 可行 研究 路径 旨在 优化 盲童 玩具 感官 体验 玩具 载体 提高 感官 联动 能力 更好 补偿 视觉 层面 上 信息 缺失
1,一种 基于 深度学习 双 随机 相位 振幅 加密 图像重建 方法,针对 基于 双 随机 相位 振幅 编码 （ DRPAE ） 技术 加密 系统 提出 一种 基于 ResNet 网络 已知明文攻击 （ KPA ） 算法
0,基于 联觉 理论 盲童 玩具 设计 研究,盲童 感 知觉 特征 情感 特征 认知 特征 立足于 触觉 听觉 嗅觉 感知 外部 世界时 发挥 作用 探讨 联觉 理论 应用 盲童 玩具 设计 上 可行性
1,中国 装备 制造业 服务化 水平 测度 基于 价值 流动 视角,结果表明 2002 2018 年间 中国 装备 制造业 投入 服务化 水平 整体 高于 产出 服务化 水平 装备 制造业 投入 服务化 水平 整体 上 呈 轻微 上升趋势 装备 制造业 产出 服务化 水平 2012 年 以后 呈现 上升 发展趋势
0,基于 视觉识别 机器人 音频 多模态 情感 识别系统 设计,硬件设计 上 设计 嵌入式 视觉 采集 系统 设计 机器人 音频 识别 电路
