files,sents,target
6 - 芳 基 嘌 呤 衍 生 物 的 合 成,"6 - 芳 基 嘌 呤 衍 生 物 具 有 良 好 的 生 物 活 性 , 是 生 物 活 性 分 子 的 重 要 基 础 骨 架 。",0
6 - 芳 基 嘌 呤 衍 生 物 的 合 成,"该 方 法 的 成 功 探 索 , 为 新 型 嘌 呤 类 生 物 活 性 物 质 的 合 成 提 供 可 行 的 技 术 参 考 。",0
6 - 芳 基 嘌 呤 衍 生 物 的 合 成,"本 文 以 6 - 氯 嘌 呤 为 原 料 , 经 过 9 位 烷 基 化 反 应 得 到 9 - 取 代 - 6 - 氯 嘌 呤 , 进 一 步 利 用 芳 胺 类 化 合 物 取 代 嘌 呤 6 位 氯 原 子 , 成 功 探 索 出 一 条 简 洁 、 高 效 合 成 6 - 芳 基 嘌 呤 衍 生 物 的 路 线 , 并 利 用 该 方 法 制 备 了 1 1 个 6 - 芳 基 嘌 呤 衍 生 物 , 表 明 该 路 线 具 有 良 好 的 官 能 团 耐 受 性 , 所 得 关 键 中 间 体 和 产 物 结 构 经 1 、 1 3 及 确 证 。",1
一 种 二 维 高 分 辨 成 像 声 纳 的 系 统 设 计,"水 下 目 标 的 轨 迹 测 量 对 于 研 究 目 标 在 水 中 的 运 动 状 态 以 及 姿 态 稳 定 控 制 方 法 具 有 重 要 意 义 , 由 于 内 测 方 式 在 实 际 应 用 时 通 常 不 具 备 安 装 条 件 , 而 基 于 外 测 方 式 的 光 学 设 备 测 量 效 果 受 水 下 环 境 影 响 较 大 , 测 量 距 离 近 , 误 差 偏 大 , 甚 至 存 在 无 测 量 的 情 况 , 因 此 水 下 目 标 轨 迹 的 测 量 一 直 是 急 需 解 决 的 问 题 。",0
一 种 二 维 高 分 辨 成 像 声 纳 的 系 统 设 计,"论 文 针 对 利 用 二 维 成 像 声 纳 来 解 决 水 下 目 标 测 量 的 问 题 给 出 了 解 决 方 案 , 设 计 了 测 量 系 统 , 同 时 进 行 了 成 像 声 纳 的 实 验 验 证 , 结 果 表 明 方 案 设 计 合 理 , 成 像 效 果 良 好 。",1
一 种 双 驱 联 动 数 控 钻 床 系 统 设 计,"本 文 设 计 了 一 种 带 有 简 单 数 控 功 能 的 , 可 由 用 户 自 主 选 择 、 设 定 钻 头 转 速 和 进 给 速 度 , 自 动 加 工 模 式 的 数 控 钻 床 。",1
一 种 双 驱 联 动 数 控 钻 床 系 统 设 计,"考 虑 到 一 套 数 控 系 统 的 成 本 问 题 , 当 前 只 有 少 数 自 动 钻 床 配 备 调 速 电 机 系 统 。",0
一 种 双 驱 联 动 数 控 钻 床 系 统 设 计,"很 多 钻 床 仅 增 加 了 钻 头 转 速 调 节 和 自 动 匀 速 进 给 的 功 能 , 没 有 实 现 两 者 联 动 和 到 位 控 制 。",0
一 种 双 驱 联 动 数 控 钻 床 系 统 设 计,"通 过 西 门 子 协 议 控 制 , 只 需 要 两 条 串 接 线 就 可 以 与 多 台 变 频 器 通 信 。",0
一 种 双 驱 联 动 数 控 钻 床 系 统 设 计,"通 过 变 频 器 的 数 据 反 馈 与 的 程 序 计 算 , 配 套 合 理 的 机 械 设 计 , 制 造 一 种 两 轴 双 驱 联 动 的 数 控 钻 床 。",0
