title,sents
“ 大 数 据 ” 揭 示 气 象 政 务 微 博 号 运 营 特 征,"利 用 网 络 爬 虫 、 大 数 据 统 计 及 情 感 分 析 等 方 法 , 分 析 2 0 2 0 年 2 月 4 日 — 6 月 4 日 , 新 浪 微 博 排 行 榜 上 排 名 靠 前 气 象 微 博 号 的 运 营 特 点 , 从 时 间 、 内 容 、 形 式 等 几 个 维 度 分 析 高 传 播 量 微 博 的 特 征 , 并 针 对 广 东 两 次 天 气 过 程 分 析 公 众 反 馈 词 频 及 情 感 值 , 结 果 表 明 : 1 增 强 粉 丝 活 跃 度 和 服 务 主 动 性 是 提 高 气 象 政 务 微 博 运 营 效 果 的 两 大 主 要 方 向 。 2 气 象 微 博 服 务 运 营 策 略 上 可 以 采 用 调 整 发 博 时 段 、 加 强 景 象 色 类 服 务 产 品 和 原 创 视 频 的 策 划 、 培 养 高 个 人 影 响 力 粉 丝 的 黏 性 等 组 合 拳 。 3 利 用 情 感 分 析 方 法 , 可 以 分 析 出 公 众 对 不 同 类 型 的 微 博 情 绪 高 低 , 可 见 将 情 感 分 析 方 法 用 于 气 象 微 博 服 务 分 析 是 可 行 的 , 未 来 应 加 强 这 方 面 研 究 。"
一 种 基 于 深 度 学 习 的 交 通 标 志 识 别 算 法,"在 无 人 驾 驶 和 驾 驶 辅 助 领 域 , 交 通 标 志 识 别 是 非 常 重 要 的 。 现 实 道 路 中 , 许 多 交 通 标 志 目 标 较 小 且 存 在 相 互 遮 挡 的 问 题 , 导 致 标 志 很 难 被 准 确 检 测 。 为 了 解 决 这 一 问 题 , 文 章 利 用 深 度 学 习 网 络 3 模 型 实 现 对 交 通 标 志 进 行 检 测 。 首 先 , 利 用 数 据 增 强 用 不 同 的 方 式 模 拟 现 实 天 气 条 件 对 清 华 - 腾 讯 交 通 标 志 集 进 行 数 据 集 增 强 , 得 到 更 为 真 实 、 丰 富 的 标 志 数 据 集 图 像 ; 然 后 利 用 3 模 型 对 标 志 图 像 特 征 进 行 学 习 并 检 测 其 类 别 。 将 该 算 法 应 用 于 交 通 标 志 任 务 中 的 结 果 表 明 , 在 扩 充 后 的 1 0 0 数 据 集 上 , 3 模 型 与 其 他 检 测 网 络 相 比 在 平 均 精 度 均 值 、 精 确 度 和 召 回 率 等 几 个 指 标 上 均 有 一 定 提 升 。"
一 种 基 于 深 度 学 习 的 双 随 机 相 位 - 振 幅 加 密 图 像 重 建 方 法,"针 对 基 于 双 随 机 相 位 振 幅 编 码 技 术 的 加 密 系 统 , 提 出 了 一 种 基 于 网 络 的 已 知 明 文 攻 击 算 法 。 提 出 的 攻 击 主 要 通 过 在 残 差 网 络 中 , 利 用 一 系 列 明 文 - 密 文 振 幅 图 像 对 数 据 集 来 完 成 训 练 集 的 制 作 。 将 明 文 - 密 文 输 入 神 经 网 络 中 进 行 训 练 可 以 让 神 经 网 络 拟 合 从 密 文 到 明 文 的 加 密 过 程 , 独 立 于 训 练 集 之 外 的 密 文 通 过 应 用 训 练 好 的 网 络 实 现 对 原 始 图 像 的 有 效 恢 复 处 理 , 从 而 达 到 了 攻 击 加 密 系 统 , 实 现 对 图 像 解 密 的 效 果 。 从 理 论 上 分 析 了 该 攻 击 方 法 的 有 效 性 和 可 行 性 , 并 通 过 计 算 机 仿 真 进 行 了 验 证 。"
人 工 智 能 和 视 速 度 约 束 的 地 震 波 初 至 拾 取 方 法,"初 至 拾 取 是 近 地 表 静 校 正 处 理 的 重 要 步 骤 之 一 。 随 着 采 集 密 度 的 不 断 提 高 , 地 震 数 据 量 不 断 增 加 , 迫 切 需 要 发 展 新 的 方 法 解 决 大 数 据 量 的 初 至 自 动 拾 取 问 题 。 传 统 方 法 通 过 人 工 交 互 拾 取 和 质 量 控 制 , 在 面 对 庞 大 数 据 量 的 高 密 度 数 据 时 效 率 很 低 , 而 基 于 深 度 学 习 的 初 至 自 动 拾 取 方 法 效 率 较 高 。 在 用 于 初 至 自 动 拾 取 的 各 种 深 度 学 习 算 法 中 , 全 卷 积 神 经 网 络 在 语 义 分 割 方 面 有 突 出 优 势 , 它 可 以 处 理 不 同 大 小 的 地 震 道 集 的 数 据 , 并 且 可 以 进 行 高 分 辨 率 的 像 素 分 类 , 但 是 这 种 方 法 存 在 定 位 精 度 不 足 的 缺 点 。 - 结 构 是 的 一 种 变 体 , 凭 借 较 高 精 度 和 易 于 实 现 的 特 点 , 可 以 较 好 解 决 初 至 拾 取 问 题 , 但 在 数 据 信 噪 比 较 低 的 情 况 下 准 确 度 会 下 降 。 为 了 解 决 以 上 问 题 , 提 出 四 个 关 键 技 术 点 : 采 用 处 理 流 程 对 振 幅 进 行 平 衡 以 提 高 预 测 精 度 ; 比 较 - 与 三 种 不 同 复 杂 度 的 - 变 体 + + 、 - 和 - , 从 不 同 角 度 解 决 分 割 问 题 ; 选 取 合 适 的 超 参 数 优 化 网 络 ; 通 过 视 速 度 约 束 提 高 分 割 图 像 精 度 。 结 果 表 明 - 获 得 了 更 高 的 精 度 和 效 率 , 并 在 陆 地 地 震 数 据 应 用 中 取 得 了 较 好 的 效 果 。"
人 工 智 能 在 燃 气 管 道 工 程 管 理 中 的 应 用,"结 合 燃 气 管 道 工 程 施 工 过 程 的 现 场 管 理 难 点 , 进 行 智 能 管 理 技 术 可 行 性 和 应 用 场 景 等 方 面 的 研 究 。 针 对 典 型 应 用 场 景 如 施 工 人 员 实 名 制 和 现 场 事 件 管 理 等 , 采 用 人 脸 识 别 算 法 和 目 标 检 测 算 法 给 出 了 "" 数 字 监 管 "" 的 技 术 方 案 , 体 现 了 人 工 智 能 在 燃 气 工 程 安 全 、 质 量 和 文 明 施 工 管 理 方 面 的 有 效 应 用 。"
人 工 智 能 技 术 在 睡 眠 医 学 领 域 的 应 用 与 展 望,"随 着 人 工 智 能 技 术 的 兴 起 与 发 展 , 将 应 用 于 医 疗 健 康 领 域 正 日 益 受 到 广 泛 关 注 。 本 文 以 机 器 学 习 、 深 度 学 习 和 迁 移 学 习 等 方 法 为 代 表 , 概 述 了 在 睡 眠 医 学 领 域 的 相 关 研 究 工 作 , 涵 盖 了 睡 眠 分 期 、 睡 眠 纺 锤 波 、 睡 眠 呼 吸 暂 停 、 快 动 眼 睡 眠 行 为 障 碍 、 失 眠 以 及 发 作 性 睡 病 等 。 同 时 , 分 析 并 探 讨 了 未 来 的 发 展 趋 势 , 充 分 发 挥 在 大 数 据 分 析 和 智 能 决 策 上 的 优 势 , 使 其 在 睡 眠 医 学 领 域 能 够 得 以 进 一 步 地 推 广 与 应 用 。"
人 工 智 能 指 纹 识 别 技 术 在 警 务 实 战 中 的 应 用,"大 数 据 时 代 , 海 量 指 纹 数 据 的 汇 聚 对 指 纹 识 别 系 统 的 比 对 精 度 和 速 度 带 来 了 挑 战 。 能 否 实 现 对 现 场 指 纹 图 片 在 海 量 样 本 库 中 的 "" 以 图 搜 图 "" , 即 无 需 对 指 纹 图 片 进 行 特 征 编 辑 即 可 快 速 比 对 无 特 征 比 对 , 是 一 线 部 门 提 出 的 实 战 需 求 。 本 文 以 "" 云 痕 "" 智 能 指 纹 识 别 系 统 为 例 , 介 绍 一 种 将 人 工 智 能 引 入 指 纹 识 别 领 域 , 采 用 自 适 应 小 波 框 架 与 主 动 式 深 度 学 习 的 比 对 技 术 和 总 线 级 协 同 计 算 的 计 算 技 术 , 建 设 指 纹 亿 级 数 据 库 的 技 术 创 新 , 使 得 指 纹 的 比 对 精 度 和 速 度 得 到 提 升 。 结 合 笔 者 单 位 警 务 工 作 , 介 绍 了 "" 云 痕 "" 系 统 应 用 于 电 脑 端 和 移 动 端 的 指 纹 比 对 场 景 , 对 比 分 析 了 人 工 智 能 与 传 统 指 纹 识 别 系 统 在 指 纹 表 述 信 息 量 及 比 对 精 度 等 方 面 的 技 术 优 势 , 并 对 人 工 智 能 在 指 纹 识 别 方 面 的 应 用 前 景 进 行 了 展 望 。"
人 工 智 能 赋 能 网 络 攻 击 的 安 全 威 胁 及 应 对 策 略,"人 工 智 能 在 为 社 会 进 步 带 来 显 著 推 动 效 应 的 同 时 , 也 在 促 进 网 络 空 间 安 全 领 域 的 重 大 变 革 , 研 究 和 网 络 空 间 安 全 结 合 带 来 的 安 全 问 题 具 有 迫 切 意 义 。 本 文 采 用 自 顶 向 下 的 分 析 方 法 , 从 加 剧 现 实 安 全 威 胁 、 催 生 新 型 安 全 威 胁 两 个 角 度 分 析 了 和 网 络 空 间 安 全 结 合 带 来 的 政 治 安 全 、 经 济 安 全 、 社 会 安 全 、 国 防 安 全 等 重 大 问 题 , 提 炼 了 自 主 化 规 模 化 的 拒 绝 服 务 攻 击 、 智 能 化 高 仿 真 的 社 会 工 程 学 攻 击 、 智 能 化 精 准 化 的 恶 意 代 码 攻 击 等 新 型 威 胁 场 景 , 总 结 了 环 境 自 适 应 隐 蔽 攻 击 、 分 布 式 自 主 协 作 攻 击 、 自 我 演 化 攻 击 等 未 来 发 展 趋 势 。 为 有 效 应 对 赋 能 网 络 攻 击 的 安 全 威 胁 , 建 议 从 防 范 安 全 威 胁 、 构 建 对 等 能 力 角 度 加 强 智 能 化 网 络 攻 防 体 系 建 设 和 能 力 升 级 ; 加 强 安 全 数 据 资 产 的 共 享 利 用 , 采 取 以 数 据 为 中 心 的 网 络 攻 防 技 术 发 展 路 径 ; 加 强 对 抗 评 估 和 测 试 验 证 , 促 进 网 络 攻 防 技 术 尽 快 具 备 实 用 性 。"
地 图 空 间 形 状 认 知 的 自 编 码 器 深 度 学 习 方 法,"形 状 是 地 理 空 间 要 素 的 重 要 特 征 , 是 人 们 建 立 空 间 概 念 、 形 成 空 间 认 知 的 重 要 依 据 。 本 文 利 用 深 度 学 习 的 特 征 挖 掘 能 力 引 入 自 编 码 学 习 方 法 , 对 二 维 地 图 空 间 中 形 状 边 界 上 多 组 邻 域 尺 寸 下 的 多 个 特 征 进 行 集 成 和 整 合 , 为 空 间 形 状 认 知 的 机 理 和 形 式 化 提 供 支 撑 。 本 文 以 建 筑 物 数 据 为 例 , 将 建 筑 物 形 状 边 界 转 换 为 序 列 数 据 , 并 提 取 其 描 述 特 征 ; 随 后 结 合 - - 自 编 码 学 习 模 型 , 对 无 标 签 的 建 筑 面 要 素 数 据 进 行 学 习 训 练 , 形 成 形 状 认 知 编 码 。 试 验 表 明 , 本 文 方 法 能 够 产 生 符 合 形 状 认 知 、 具 有 相 似 度 计 算 意 义 的 形 状 编 码 , 具 备 对 不 同 建 筑 物 形 状 的 区 分 能 力 ; 同 时 , 在 形 状 检 索 和 匹 配 等 应 用 场 景 中 , 该 形 状 编 码 能 有 效 地 表 示 建 筑 物 的 全 局 和 局 部 特 征 , 与 视 觉 认 知 结 果 一 致 。"
城 市 轨 道 交 通 大 数 据 资 源 目 录 构 建 探 究,"针 对 目 前 城 市 轨 道 交 通 大 数 据 资 源 目 录 构 建 中 存 在 的 分 类 不 统 一 、 描 述 不 全 面 、 服 务 不 完 善 等 问 题 , 从 资 源 分 类 及 编 码 定 义 、 核 心 元 数 据 及 资 源 目 录 服 务 模 式 等 方 面 进 行 了 探 讨 , 提 出 了 大 数 据 资 源 目 录 构 建 方 法 及 解 决 思 路 。"
